VALUE,DATE,HOUR
243887,01.01.2009 0:00:00.000000,1
243068,01.01.2009 0:00:00.000000,2
242266,01.01.2009 0:00:00.000000,3
242659,01.01.2009 0:00:00.000000,4
243724,01.01.2009 0:00:00.000000,5
241816,01.01.2009 0:00:00.000000,6
242365,01.01.2009 0:00:00.000000,7
240497,01.01.2009 0:00:00.000000,8
243301,01.01.2009 0:00:00.000000,9
242249,01.01.2009 0:00:00.000000,10
241534,01.01.2009 0:00:00.000000,11
241819,01.01.2009 0:00:00.000000,12
242699,01.01.2009 0:00:00.000000,13
245498,01.01.2009 0:00:00.000000,14
243641,01.01.2009 0:00:00.000000,15
245565,01.01.2009 0:00:00.000000,16
241820,01.01.2009 0:00:00.000000,17
242395,01.01.2009 0:00:00.000000,18
242913,01.01.2009 0:00:00.000000,19
244085,01.01.2009 0:00:00.000000,20
244143,01.01.2009 0:00:00.000000,21
243263,01.01.2009 0:00:00.000000,22
242766,01.01.2009 0:00:00.000000,23
242339,01.01.2009 0:00:00.000000,24
245030,02.01.2009 0:00:00.000000,1
244130,02.01.2009 0:00:00.000000,2
242270,02.01.2009 0:00:00.000000,3
242635,02.01.2009 0:00:00.000000,4
242081,02.01.2009 0:00:00.000000,5
242539,02.01.2009 0:00:00.000000,6
242804,02.01.2009 0:00:00.000000,7
242046,02.01.2009 0:00:00.000000,8
240292,02.01.2009 0:00:00.000000,9
241776,02.01.2009 0:00:00.000000,10
244412,02.01.2009 0:00:00.000000,11
243690,02.01.2009 0:00:00.000000,12
244140,02.01.2009 0:00:00.000000,13
244418,02.01.2009 0:00:00.000000,14
244100,02.01.2009 0:00:00.000000,15
245171,02.01.2009 0:00:00.000000,16
245087,02.01.2009 0:00:00.000000,17
247410,02.01.2009 0:00:00.000000,18
247126,02.01.2009 0:00:00.000000,19
246771,02.01.2009 0:00:00.000000,20
246001,02.01.2009 0:00:00.000000,21
246171,02.01.2009 0:00:00.000000,22
247788,02.01.2009 0:00:00.000000,23
247553,02.01.2009 0:00:00.000000,24
245410,03.01.2009 0:00:00.000000,1
244943,03.01.2009 0:00:00.000000,2
245231,03.01.2009 0:00:00.000000,3
244162,03.01.2009 0:00:00.000000,4
244698,03.01.2009 0:00:00.000000,5
244290,03.01.2009 0:00:00.000000,6
248489,03.01.2009 0:00:00.000000,7
245367,03.01.2009 0:00:00.000000,8
244926,03.01.2009 0:00:00.000000,9
246626,03.01.2009 0:00:00.000000,10
248045,03.01.2009 0:00:00.000000,11
248243,03.01.2009 0:00:00.000000,12
248124,03.01.2009 0:00:00.000000,13
252090,03.01.2009 0:00:00.000000,14
250050,03.01.2009 0:00:00.000000,15
249589,03.01.2009 0:00:00.000000,16
251584,03.01.2009 0:00:00.000000,17
252169,03.01.2009 0:00:00.000000,18
252516,03.01.2009 0:00:00.000000,19
250644,03.01.2009 0:00:00.000000,20
248264,03.01.2009 0:00:00.000000,21
248058,03.01.2009 0:00:00.000000,22
248254,03.01.2009 0:00:00.000000,23
247342,03.01.2009 0:00:00.000000,24
250362,04.01.2009 0:00:00.000000,1
249191,04.01.2009 0:00:00.000000,2
248550,04.01.2009 0:00:00.000000,3
248808,04.01.2009 0:00:00.000000,4
250774,04.01.2009 0:00:00.000000,5
252002,04.01.2009 0:00:00.000000,6
251100,04.01.2009 0:00:00.000000,7
251736,04.01.2009 0:00:00.000000,8
253405,04.01.2009 0:00:00.000000,9
251170,04.01.2009 0:00:00.000000,10
251439,04.01.2009 0:00:00.000000,11
251673,04.01.2009 0:00:00.000000,12
253048,04.01.2009 0:00:00.000000,13
254039,04.01.2009 0:00:00.000000,14
253948,04.01.2009 0:00:00.000000,15
253633,04.01.2009 0:00:00.000000,16
253012,04.01.2009 0:00:00.000000,17
257294,04.01.2009 0:00:00.000000,18
259193,04.01.2009 0:00:00.000000,19
256781,04.01.2009 0:00:00.000000,20
255834,04.01.2009 0:00:00.000000,21
253978,04.01.2009 0:00:00.000000,22
252655,04.01.2009 0:00:00.000000,23
254154,04.01.2009 0:00:00.000000,24
258659,05.01.2009 0:00:00.000000,1
254052,05.01.2009 0:00:00.000000,2
252412,05.01.2009 0:00:00.000000,3
250723,05.01.2009 0:00:00.000000,4
251698,05.01.2009 0:00:00.000000,5
251251,05.01.2009 0:00:00.000000,6
250658,05.01.2009 0:00:00.000000,7
249381,05.01.2009 0:00:00.000000,8
251485,05.01.2009 0:00:00.000000,9
252104,05.01.2009 0:00:00.000000,10
253122,05.01.2009 0:00:00.000000,11
254069,05.01.2009 0:00:00.000000,12
253994,05.01.2009 0:00:00.000000,13
252618,05.01.2009 0:00:00.000000,14
253770,05.01.2009 0:00:00.000000,15
252329,05.01.2009 0:00:00.000000,16
257390,05.01.2009 0:00:00.000000,17
260964,05.01.2009 0:00:00.000000,18
262271,05.01.2009 0:00:00.000000,19
261936,05.01.2009 0:00:00.000000,20
259800,05.01.2009 0:00:00.000000,21
258035,05.01.2009 0:00:00.000000,22
256727,05.01.2009 0:00:00.000000,23
256324,05.01.2009 0:00:00.000000,24
257053,06.01.2009 0:00:00.000000,1
257346,06.01.2009 0:00:00.000000,2
255116,06.01.2009 0:00:00.000000,3
254612,06.01.2009 0:00:00.000000,4
253705,06.01.2009 0:00:00.000000,5
253832,06.01.2009 0:00:00.000000,6
253647,06.01.2009 0:00:00.000000,7
252800,06.01.2009 0:00:00.000000,8
253642,06.01.2009 0:00:00.000000,9
254670,06.01.2009 0:00:00.000000,10
254477,06.01.2009 0:00:00.000000,11
255281,06.01.2009 0:00:00.000000,12
255465,06.01.2009 0:00:00.000000,13
255422,06.01.2009 0:00:00.000000,14
255843,06.01.2009 0:00:00.000000,15
256340,06.01.2009 0:00:00.000000,16
255867,06.01.2009 0:00:00.000000,17
260834,06.01.2009 0:00:00.000000,18
262864,06.01.2009 0:00:00.000000,19
261822,06.01.2009 0:00:00.000000,20
258886,06.01.2009 0:00:00.000000,21
255072,06.01.2009 0:00:00.000000,22
251393,06.01.2009 0:00:00.000000,23
247585,06.01.2009 0:00:00.000000,24
245225,07.01.2009 0:00:00.000000,1
253713,07.01.2009 0:00:00.000000,2
252516,07.01.2009 0:00:00.000000,3
252874,07.01.2009 0:00:00.000000,4
248767,07.01.2009 0:00:00.000000,5
254430,07.01.2009 0:00:00.000000,6
257236,07.01.2009 0:00:00.000000,7
257899,07.01.2009 0:00:00.000000,8
258205,07.01.2009 0:00:00.000000,9
261480,07.01.2009 0:00:00.000000,10
259887,07.01.2009 0:00:00.000000,11
258841,07.01.2009 0:00:00.000000,12
257789,07.01.2009 0:00:00.000000,13
257183,07.01.2009 0:00:00.000000,14
256334,07.01.2009 0:00:00.000000,15
256142,07.01.2009 0:00:00.000000,16
257396,07.01.2009 0:00:00.000000,17
257452,07.01.2009 0:00:00.000000,18
257181,07.01.2009 0:00:00.000000,19
256525,07.01.2009 0:00:00.000000,20
256280,07.01.2009 0:00:00.000000,21
256640,07.01.2009 0:00:00.000000,22
255159,07.01.2009 0:00:00.000000,23
254342,07.01.2009 0:00:00.000000,24
255792,08.01.2009 0:00:00.000000,1
252414,08.01.2009 0:00:00.000000,2
252518,08.01.2009 0:00:00.000000,3
253115,08.01.2009 0:00:00.000000,4
251334,08.01.2009 0:00:00.000000,5
253442,08.01.2009 0:00:00.000000,6
253558,08.01.2009 0:00:00.000000,7
254278,08.01.2009 0:00:00.000000,8
253658,08.01.2009 0:00:00.000000,9
253019,08.01.2009 0:00:00.000000,10
253204,08.01.2009 0:00:00.000000,11
253804,08.01.2009 0:00:00.000000,12
253972,08.01.2009 0:00:00.000000,13
252321,08.01.2009 0:00:00.000000,14
252600,08.01.2009 0:00:00.000000,15
253776,08.01.2009 0:00:00.000000,16
253747,08.01.2009 0:00:00.000000,17
256332,08.01.2009 0:00:00.000000,18
257817,08.01.2009 0:00:00.000000,19
258104,08.01.2009 0:00:00.000000,20
256462,08.01.2009 0:00:00.000000,21
259917,08.01.2009 0:00:00.000000,22
256764,08.01.2009 0:00:00.000000,23
256241,08.01.2009 0:00:00.000000,24
253833,09.01.2009 0:00:00.000000,1
249955,09.01.2009 0:00:00.000000,2
249502,09.01.2009 0:00:00.000000,3
249208,09.01.2009 0:00:00.000000,4
249654,09.01.2009 0:00:00.000000,5
249110,09.01.2009 0:00:00.000000,6
250477,09.01.2009 0:00:00.000000,7
249474,09.01.2009 0:00:00.000000,8
249225,09.01.2009 0:00:00.000000,9
250528,09.01.2009 0:00:00.000000,10
251614,09.01.2009 0:00:00.000000,11
252069,09.01.2009 0:00:00.000000,12
251415,09.01.2009 0:00:00.000000,13
251861,09.01.2009 0:00:00.000000,14
252113,09.01.2009 0:00:00.000000,15
252244,09.01.2009 0:00:00.000000,16
253130,09.01.2009 0:00:00.000000,17
