Product_code;Product_name;;
821001;Кофе ЭСПРЕССО  30 мл;;
821002;Кофе ДОППИО 60мл;;
821003;Кофе РИСТРЕТТО  20 мл;;
821004;Фильтр кофе Верньяно250мл;;
821005;Кофе ЛУНГО  50 мл;;
821007;Кофе КОРЕТТО 35 мл;;
821008;Кофе Эспрессо Романо50мл;;
821011;ФРЕНЧ ПРЕСС Кофе;;
821012;Кофе АМЕРИКАНО 90мл;;
821014;Кофе Мокко 70мл;;
821015;АйсКофе  180 мл;;
821018;Латте с сиропом 230;;
821019;АФФОГАТО  230мл;;
821020;Латте с алк.230мл;;
821021;Латте холодный 240мл;;
821022;Латте хол.с алк 240мл;;
821023;Латте хол.с сир.240мл;;
821024;Эспрессо Крим 150мл;;
821025;Латте/Калуа 230мл;;
821026;Латте/Бисквит 230мл;;
821027;Латте/Ром 230мл;;
821028;Латте/Адвокат 230мл;;
821029;Латте/Кероланс 230мл;;
821030;Латте/Куантро 230мл;;
821031;Латте/Самбука 230мл;;
821032;Латте/Джеймсон 230мл;;
821033;Латте/Текила 230мл;;
821034;Латте/Кальвадос 230мл;;
821035;Коретто/Калуа 35мл;;
821036;Коретто/Бисквит 35мл;;
821037;Коретто/Ром 35мл;;
821038;Коретто/Адвокат 35мл;;
821039;Коретто/Кероланс 35мл;;
821040;Коретто/Куантро 35мл;;
821041;Фильтр кофе Сицилия 250мл;;
821042;Фильтр кофе Венская250мл;;
821043;Фильтр кофе Сафари 250мл;;
821044;Фильтр кофе Смит Рок 250м;;
821045;Фильтр кофе Крим 250мл;;
821046;Фильтр кофе Ван.Крим 250м;;
821047;Фильтр кофе Ван.Орех 250м;;
821048;Фильтр кофе Дилайт 250мл;;
821049;Фильтр кофе Корица Орех;;
821050;Фильтр кофе Макадамия 250;;
821051;Фильтр кофе Френч Силк250;;
821052;Фильтр кофе Шок.Макадамия;;
821053;Фильтр кофе Шок.Орех 250м;;
821054;Френч пресс Ямайка 200мл;;
821055;Френч пресс Австр.Вялен.;;
821056;Френч пресс Бразил.Сантос;;
821057;Френч пресс Гватем.Антиг.;;
821058;Френч пресс Йемен Мокко;;
821059;Френч пресс Кения 200мл;;
821060;Френч пресс Колумбия Супр;;
821061;Френч пресс Коста Рика;;
821062;Френч пресс Малави 200мл;;
