Территория	Тип керамики	Номер образца	K	Ca	SiO2	Na	K	Ca	Mg	Ti	Fe
О-в Сахалин 	Охотский	31	0.05	0.04	0.94	0.48	0.48	0.04	0.01	0.16	0.83
О-в Сахалин 	Охотский	71	0.05	0.06	0.88	0.45	0.25	0.3	0.02	0.2	0.78
О-в Сахалин 	Охотский	11	0.16	0.06	0.78	0.4	0.43	0.17	0.03	0.13	0.83
О-в Сахалин 	Охотский	131	0.2	0.05	0.75	0.54	0.37	0.09	0	0.14	0.86
О-в Сахалин 	Охотский	141	0.09	0.01	0.89	0.43	0.5	0.08	0.03	0.12	0.85
О-в Сахалин 	Охотский	231	0.14	0.19	0.67	0.48	0.23	0.29	0.03	0.2	0.77
О-в Сахалин 	Охотский	241	0.1	0.14	0.76	0.29	0.29	0.42	0	0.12	0.88
О-в Сахалин 	Охотский	111	0.2	0.03	0.77	0.55	0.39	0.06	0	0.09	0.91
О-в Сахалин 	Охотский	101	0.11	0.04	0.85	0.49	0.39	0.12	0.03	0.09	0.88
О-в Сахалин 	Охотский	121	0.15	0.13	0.73	0.4	0.33	0.28	0.03	0.1	0.87
О-в Сахалин 	Охотский	211	0.19	0.13	0.67	0.32	0.4	0.28	0	0.1	0.9
О-в Сахалин 	Охотский	221	0.23	0.07	0.7	0.4	0.46	0.14	0.03	0.06	0.9
О-в Сахалин 	Охотский	21	0.04	0.16	0.8	0.35	0.14	0.51	0	0.23	0.77
О-в Сахалин 	Сусуйский	22	0.03	0.13	0.85	0.52	0.08	0.4	0.08	0.1	0.81
О-в Сахалин 	Сусуйский	212	0.1	0.06	0.84	0.55	0.29	0.16	0.13	0.1	0.78
Г. Вакканай	Охотский	7	0.14	0.59	0.27	0.24	0.14	0.61	0.09	0.13	0.78
Г. Вакканай	Охотский	11	0.37	0.15	0.48	0.49	0.37	0.14	0.1	0.07	0.83
Г. Вакканай	Охотский	1	0.02	0.94	0.04	0.38	0.01	0.6	0.09	0.01	0.9
Г. Вакканай	Охотский	31	0.05	0.89	0.06	0.08	0.05	0.87	0.02	0.01	0.97
Г. Вакканай	Охотский	32	0.13	0.82	0.05	0.18	0.11	0.71	0.2	0.03	0.77
Г. Вакканай	Охотский	41	0.12	0.17	0.7	0.15	0.36	0.5	0.08	0.21	0.71
Г. Вакканай	Охотский	42	0.47	0.15	0.38	0.56	0.33	0.1	0.1	0.28	0.62
Г. Вакканай	Охотский	43	0.07	0.84	0.08	0.18	0.07	0.75	0.02	0.02	0.96
Г. Вакканай	Охотский	44	0.11	0.69	0.2	0.05	0.13	0.82	0	0.05	0.95
Г. Вакканай	Охотский	45	0.41	0.33	0.26	0.13	0.48	0.39	0.02	0.31	0.67
Г. Вакканай	Сусуйский	8	0.19	0.53	0.27	0.21	0.21	0.58	0.12	0.15	0.73
Г. Вакканай	Сусуйский	9	0.09	0.69	0.22	0.39	0.07	0.54	0.24	0.05	0.71
Г. Вакканай	Сусуйский	10	0.35	0.22	0.42	0.45	0.34	0.21	0.22	0.09	0.68
Г. Вакканай	Сусуйский	12	0.28	0.62	0.11	0.41	0.18	0.41	0.06	0.15	0.79
Г. Вакканай	Сусуйский	13	0.33	0.61	0.07	0.2	0.28	0.52	0.09	0.04	0.87
Г. Вакканай	Сусуйский	14	0.42	0.27	0.31	0.5	0.3	0.19	0	0.1	0.9
Г. Вакканай	Сусуйский	15	0.27	0.58	0.15	0.31	0.22	0.47	0.08	0.14	0.78
Г. Вакканай	Сусуйский	1	0.59	0.32	0.09	0.45	0.36	0.19	0.28	0.16	0.56
Г. Вакканай	Сусуйский	2	0.4	0.48	0.12	0.4	0.27	0.33	0.09	0.22	0.69
Г. Вакканай	Сусуйский	3	0.26	0.55	0.19	0.39	0.2	0.41	0.15	0.03	0.82
Г. Вакканай	Сусуйский	4	0.13	0.04	0.84	0.61	0.3	0.08	0	0.14	0.86
О-в Рисири	Охотский	5	0.11	0.32	0.57	0.37	0.16	0.47	0.11	0.06	0.83
